change,description,lots,modes,delta_c0,delta_opex,delta_vpub,delta_cash,c0,opex,vpub,cash,anchor_cash,commercial_cash,kcash,opex_gap,t_rep,readiness,resilience,scale,territorial_archetypes,capability_groups,public_core_lots,feasible_BASE,feasible_STRESS
mode,AGRI: режим B → A,FIRE+ENV+AGRI+TRANS,AAAB,13.0,3.75,41.40000000000009,-48.0,1153.0,316.75,1330.4,322.5,196.0,126.5,1.0181531176006313,-5.75,0.73,4.525,4.05,4.675,4,2,3,True,True
lot,FIRE/A → FLOOD/A,FLOOD+ENV+AGRI+TRANS,AABB,21.0,5.25,40.0,12.5,1161.0,318.25,1329.0,383.0,200.0,183.0,1.2034564021995287,-64.75,0.715,4.45,4.225,4.6,4,2,2,True,True
mode,TRANS: режим B → A,FIRE+ENV+AGRI+TRANS,AABA,12.5,3.5,39.59999999999991,-33.75,1152.5,316.5,1328.6,336.75,199.0,137.75,1.0639810426540284,-20.25,0.73,4.525,4.05,4.675,4,2,3,True,True
mode,TRANS: режим B → C,FIRE+ENV+AGRI+TRANS,AABC,-5.0,-3.5,-44.0,8.0,1135.0,309.5,1245.0,378.5,174.25,204.25,1.2229402261712439,-69.0,0.73,4.525,4.05,4.675,4,2,2,True,True
mode,AGRI: режим B → C,FIRE+ENV+AGRI+TRANS,AACB,-5.2000000000000455,-3.75,-46.0,19.5,1134.8,309.25,1243.0,390.0,179.5,210.5,1.2611156022635408,-80.75,0.73,4.525,4.05,4.675,4,2,2,True,True
lot,ENV/A → INFRA/A,FIRE+INFRA+AGRI+TRANS,AABB,31.5,5.25,-60.0,5.0,1171.5,318.25,1229.0,375.5,190.0,185.5,1.1798900235663787,-57.25,0.725,4.449999999999999,4.0,4.65,4,2,2,True,True
lot,FIRE/A → SSA/A,SSA+ENV+AGRI+TRANS,AABB,10.5,10.5,-220.0,6.25,1150.5,323.5,1069.0,376.75,180.0,196.75,1.1646058732612055,-53.25,0.72,4.35,3.95,4.775,3,3,2,True,True
lot,FIRE/A → INFRA/A,INFRA+ENV+AGRI+TRANS,AABB,-10.5,-5.25,-260.0,-2.5,1129.5,307.75,1029.0,368.0,170.0,198.0,1.1957757920389926,-60.25,0.7375,4.475,4.175,4.7,4,2,2,True,True
