variant,feasible,score,rank,vpub,c0,kcash,readiness,resilience,scale,margin:STRESS:c0_limit,z_vpub,z_c0,z_kcash,z_readiness,z_resilience,z_scale,z_margin:STRESS:c0_limit
FLOOD:A|AGRI:B|TRANS:B|ENV:A,True,0.6341864477165784,23,1329.0,1161.0,1.2034564021995287,4.45,4.225,4.6,19.0,0.8878048780487803,0.3303571428571429,0.7350379905843926,0.6249999999999994,1.0,0.12499999999999722,0.33035714285714285
FLOOD:A|AGRI:B|TRANS:C|ENV:A,True,0.633661004731144,24,1285.0,1156.0,1.2422557585385225,4.45,4.225,4.6,24.0,0.7685636856368562,0.4196428571428571,0.8212078983624871,0.6249999999999994,1.0,0.12499999999999722,0.41964285714285715
FLOOD:A|AGRI:C|TRANS:A|ENV:B,True,0.6250954303391865,25,1257.8,1154.3,1.260143198090692,4.45,4.225,4.6,25.700000000000045,0.6948509485094848,0.45000000000000084,0.8609343052422734,0.6249999999999994,1.0,0.12499999999999722,0.4500000000000008
FIRE:A|AGRI:A|TRANS:A|ENV:B,True,0.6250536206770441,26,1305.2,1151.5,0.9984202211690363,4.525,4.05,4.675,28.5,0.8233062330623305,0.5,0.27967093098155865,1.0,0.6111111111111113,0.4999999999999978,0.5
FIRE:B|AGRI:A|TRANS:A|ENV:B,True,0.6198582627999419,27,1204.4,1135.5,1.0144115292233786,4.525,4.05,4.675,44.5,0.5501355013550137,0.7857142857142857,0.31518619902503653,1.0,0.6111111111111113,0.4999999999999978,0.7857142857142857
FLOOD:A|AGRI:B|TRANS:A|ENV:B,True,0.6139008602823944,28,1303.8,1159.5,1.1839622641509433,4.45,4.225,4.6,20.5,0.819512195121951,0.3571428571428571,0.6917432497339673,0.6249999999999994,1.0,0.12499999999999722,0.35714285714285715
FLOOD:A|AGRI:C|TRANS:A|ENV:C,True,0.5987746988091576,29,1185.8,1148.7,1.2818035426731078,4.45,4.225,4.6,31.299999999999955,0.49972899728997267,0.5499999999999992,0.9090399974811079,0.6249999999999994,1.0,0.12499999999999722,0.5499999999999992
FLOOD:A|AGRI:A|TRANS:B|ENV:B,True,0.5979057313259823,30,1305.6,1160.0,1.138256087981147,4.45,4.225,4.6,20.0,0.8243902439024385,0.3482142857142857,0.5902339115111976,0.6249999999999994,1.0,0.12499999999999722,0.3482142857142857
FIRE:A|AGRI:A|TRANS:A|ENV:C,True,0.5976355388060007,31,1233.2,1145.9,1.0167865707434052,4.525,4.05,4.675,34.09999999999991,0.6281842818428184,0.5999999999999983,0.32046095428029703,1.0,0.6111111111111113,0.4999999999999978,0.5999999999999984
FLOOD:A|AGRI:A|TRANS:C|ENV:B,True,0.5971387565168357,32,1261.6,1155.0,1.176330420969023,4.45,4.225,4.6,25.0,0.7051490514905145,0.4375,0.6747936071312107,0.6249999999999994,1.0,0.12499999999999722,0.4375
FIRE:B|AGRI:A|TRANS:A|ENV:C,True,0.5925892278596198,33,1132.4,1129.9,1.03322528363047,4.525,4.05,4.675,50.09999999999991,0.35501355013550157,0.8857142857142841,0.35696986852858137,1.0,0.6111111111111113,0.4999999999999978,0.8857142857142841
FIRE:C|AGRI:C|TRANS:A|ENV:A,True,0.5915445535832695,34,1069.8,1124.9,1.1158586688578471,4.525,4.05,4.675,55.09999999999991,0.18536585365853647,0.9749999999999984,0.5404912424973198,1.0,0.6111111111111113,0.4999999999999978,0.9749999999999984
FLOOD:A|AGRI:B|TRANS:A|ENV:C,True,0.5871911727599781,35,1231.8,1153.9,1.2044550517104216,4.45,4.225,4.6,26.09999999999991,0.6243902439024388,0.4571428571428555,0.7372559020235521,0.6249999999999994,1.0,0.12499999999999722,0.4571428571428555
AGRI:B|INFRA:B|TRANS:A|ENV:A,True,0.5847836382190927,36,1014.5999999999999,1126.5,1.2058584214808787,4.475,4.175,4.7,53.5,0.03577235772357704,0.9464285714285714,0.7403726610399207,0.7499999999999967,0.8888888888888892,0.6249999999999994,0.9464285714285714
FIRE:A|AGRI:A|TRANS:A|ENV:A,True,0.5829952939470788,37,1370.0,1165.5,0.9016393442622951,4.525,4.05,4.675,14.5,0.9989159891598913,0.25,0.06472924058666943,1.0,0.6111111111111113,0.4999999999999978,0.25
FLOOD:A|AGRI:C|TRANS:A|ENV:A,True,0.5817808033937185,38,1322.6,1168.3,1.1595911949685536,4.45,4.225,4.6,11.700000000000045,0.8704607046070456,0.20000000000000084,0.637617280077365,0.6249999999999994,1.0,0.12499999999999722,0.20000000000000082
FIRE:C|AGRI:B|TRANS:A|ENV:A,True,0.58011122586262,39,1115.8,1130.1,1.0389610389610389,4.525,4.05,4.675,49.90000000000009,0.31002710027100255,0.8821428571428588,0.3697084692299569,1.0,0.6111111111111113,0.4999999999999978,0.8821428571428588
AGRI:B|INFRA:A|TRANS:B|ENV:A,True,0.5797392051245697,40,1029.0,1129.5,1.1957757920389926,4.475,4.175,4.7,50.5,0.07479674796747972,0.8928571428571429,0.7179800408743421,0.7499999999999967,0.8888888888888892,0.6249999999999994,0.8928571428571429
FLOOD:B|AGRI:C|TRANS:A|ENV:A,True,0.5788673606967177,41,1214.6,1151.3,1.186602870813397,4.45,4.225,4.6,28.700000000000045,0.5777777777777774,0.5035714285714294,0.6976078014701822,0.6249999999999994,1.0,0.12499999999999722,0.5035714285714293
FIRE:B|AGRI:A|TRANS:A|ENV:A,True,0.5773030921905428,42,1269.2,1149.5,0.9161392405063291,4.525,4.05,4.675,30.5,0.7257452574525745,0.5357142857142857,0.0969322161005862,1.0,0.6111111111111113,0.4999999999999978,0.5357142857142857
FLOOD:A|AGRI:B|TRANS:A|ENV:A,True,0.5712724362751662,43,1368.6,1173.5,1.0854700854700854,4.45,4.225,4.6,6.5,0.9951219512195117,0.1071428571428571,0.47300091082399115,0.6249999999999994,1.0,0.12499999999999722,0.10714285714285714
FLOOD:A|AGRI:A|TRANS:B|ENV:C,True,0.5710090621590156,44,1233.6,1154.4,1.15818759936407,4.45,4.225,4.6,25.59999999999991,0.6292682926829265,0.4482142857142841,0.6345000195037782,0.6249999999999994,1.0,0.12499999999999722,0.44821428571428407
FLOOD:A|AGRI:A|TRANS:C|ENV:C,True,0.5704697546665323,45,1189.6,1149.4,1.1969453376205788,4.45,4.225,4.6,30.59999999999991,0.5100271002710024,0.5374999999999983,0.7205774972348815,0.6249999999999994,1.0,0.12499999999999722,0.5374999999999984
