variant,feasible,admitted,score,rank,gate_anchor_coverage,anchor_kcash,vpub,c0,kcash,readiness,resilience,scale,margin:STRESS:c0_limit,z_vpub,z_c0,z_kcash,z_readiness,z_resilience,z_scale,z_margin:STRESS:c0_limit
V8,True,True,0.690529029550414,1,False,0.5804365400161682,1243.0,1134.8,1.2611156022635408,4.525,4.05,4.675,45.200000000000045,0.5107526881720428,0.8917748917748919,0.9009248062286596,1.0,0.36363636363636304,0.4285714285714278,0.8917748917748919
FINAL,True,True,0.6870518406975645,2,True,0.6070287539936102,1289.0,1140.0,1.18370607028754,4.525,4.05,4.675,40.0,0.6874039938556065,0.7792207792207785,0.7120311234327257,1.0,0.36363636363636304,0.4285714285714278,0.7792207792207785
V7,True,True,0.6817553414327606,3,False,0.53556827473426,1199.0,1129.8,1.3017170891251022,4.525,4.05,4.675,50.200000000000045,0.3417818740399384,1.0,1.0,1.0,0.36363636363636304,0.4285714285714278,1.0
V1,True,True,0.5391384941341838,4,True,0.6401249024199844,1370.0,1165.5,0.9016393442622951,4.525,4.05,4.675,14.5,0.9984639016897078,0.22727272727272707,0.023735750588736594,1.0,0.36363636363636304,0.4285714285714278,0.22727272727272704
V2,True,True,0.5223060058803084,5,True,0.639751552795031,1370.4,1174.0,1.0403726708074534,4.45,4.225,4.6,6.0,1.0,0.04329004329004327,0.3622709194329355,0.5714285714285722,1.0,0.0,0.04329004329004325
V5,True,True,0.37075141619085583,6,False,0.5970149253731343,1229.0,1171.5,1.1798900235663787,4.449999999999999,4.0,4.65,8.5,0.4569892473118278,0.09740259740259727,0.7027192583370296,0.5714285714285671,0.18181818181818152,0.28571428571428864,0.09740259740259731
V6,True,True,0.33018177290875644,7,False,0.5873015873015873,1110.0,1155.0,0.9087301587301587,4.475,4.175,4.7,25.0,0.0,0.45454545454545414,0.041038659218551175,0.7142857142857114,0.8181818181818185,0.5714285714285722,0.4545454545454541
V4,True,True,0.1460829493087558,8,False,0.5895691609977324,1150.0,1176.0,0.891912320483749,4.35,3.95,4.775,4.0,0.15360983102918582,0.0,0.0,0.0,0.0,1.0,0.0
V3,False,False,,,True,0.7738095238095238,1740.0,1249.5,0.9672619047619048,4.375,4.075,4.525,-69.5,,,,,,,
